pwsid,name,type,population,owner_type,primary_source,address,lat,lng,total_violations,health_violations,unaddressed_violations,risk_level,marker_color
GA0510036,OGEECHEE FARMS,CWS,918,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,103,3,0,High,red
GA0510038,PARKERSBURG SUBDIVISION,CWS,1253,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,24,0,0,Low,yellow
GA0510040,PINE BARREN ACRES,CWS,138,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,91,2,0,High,red
GA0510042,PLANTATION INN MOBILE ESTATES,CWS,229,P,GW,"ATLANTA, Chatham County, GA",33.749,-84.388,10,0,0,Low,yellow
GA0510044,RIO VISTA/BURNSIDE,CWS,759,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,21,0,0,Low,yellow
GA0510046,RIVER OAKS SUBDIVISION,CWS,541,P,GW,"THUNDERBOLT, Chatham County, GA",32.0835,-81.0998,7,1,0,High,red
GA0510047,MARSH POINT HOMES,CWS,497,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,29,0,0,Low,yellow
GA0510049,SOUTHSIDE MOBILE ESTATES,CWS,224,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,29,0,0,Low,yellow
GA0510050,SOUTHWINDS - WHITE OAKS,CWS,572,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,19,0,0,Low,yellow
GA0510052,TALAHI ISLAND COMMUNITY,CWS,1139,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,27,0,0,Low,yellow
GA0510054,THE BLUFF SUBDIVISION (HOA),CWS,55,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,23,6,0,High,red
GA0510055,VICKS MOBILE HOME PARK,CWS,182,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,18,10,0,High,red
GA0510060,SAVANNAH YACHT & COUNTRY CLUB,CWS,257,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,25,0,0,Low,yellow
GA0510063,SOLENIS LLC,NTNCWS,33,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,24,3,0,High,red
GA0510073,USA-HUNTER AF 702 RADER # 4-4A,TNCWS,28,F,GW,"FORT STEWART, Chatham County, GA",32.0835,-81.0998,3,0,0,Low,yellow
GA0510075,UGA-SKIDAWAY OCEANOGRAPHY INST,NTNCWS,108,S,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,26,0,0,Low,yellow
GA0510079,MORGAN MOBILE HOME PARK,CWS,148,P,GW,"BLOOMINGDALE, Chatham County, GA",32.0835,-81.0998,30,6,0,High,red
GA0510081,SAVANNAH-GEORGETOWN/GATEWAY,CWS,14589,L,GW,"PORT WENTWORTH, Chatham County, GA",32.0835,-81.0998,23,2,0,High,red
GA0510083,"SAVANNAH HEALTH SERVICES, LLC D/B/A MEMO",NTNCWS,4800,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,75,0,4,Medium,orange
GA0510085,OLIVER PINES,CWS,26,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,87,1,0,High,red
GA0510087,DNR-OLD FORT JACKSON MUSEUM,TNCWS,100,L,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,33,0,0,Low,yellow
GA0510088,DNR-SKIDAWAY ISLAND STATE PARK,TNCWS,347,S,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,8,0,0,Low,yellow
GA0510091,COMMODORE POINT,CWS,302,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,89,4,0,High,red
GA0510092,DERENNE PLAZA CONDOMINIUMS,CWS,175,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,22,3,0,High,red
GA0510094,WHITEMARSH ESTATES,CWS,390,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,25,0,1,Medium,orange
GA0510095,OATLAND ISLAND EDUCATION CNTR.,NTNCWS,120,L,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,36,3,1,High,red
GA0510096,RUNAWAY POINT,CWS,861,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,11,0,0,Low,yellow
GA0510098,ENNIS MOBILE HOME PARK,CWS,33,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,52,10,8,High,red
GA0510099,MONTGOMERY AREA,CWS,1185,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,19,3,0,High,red
GA0510100,BETHESDA HOME FOR BOYS,CWS,126,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,28,0,0,Low,yellow
GA0510104,WHITFIELD PARK SUBDIVISION,CWS,676,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,24,1,0,High,red
GA0510107,USA-HUNTER ARMY AIRFIELD - MAIN,CWS,7500,F,GW,"FORT STEWART, Chatham County, GA",32.0835,-81.0998,10,0,0,Low,yellow
GA0510109,GLEN OF ROBIN HOOD,CWS,5000,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,17,3,0,High,red
GA0510110,FOSS MOBILE HOME PARK,CWS,221,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,63,1,0,High,red
GA0510112,QUACCO VILLAGE,CWS,138,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,36,7,0,High,red
GA0510113,GROVE POINT MOBILE ESTATES,CWS,206,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,9,0,0,Low,yellow
GA0510114,BELLAIRE VILLAGE SUBDIVISION,CWS,57,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,48,12,3,High,red
GA0510121,BEAULIEU VILLAGE SUBDIVISION,CWS,143,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,23,0,0,Low,yellow
GA0510123,DERRICK SUBDIVISION,CWS,125,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,13,0,0,Low,yellow
GA0510124,LITTLE NECK PLANTATION,CWS,111,L,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,24,0,1,Medium,orange
GA0510126,MILLER PINES MOBILE HOME PARK,CWS,96,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,38,0,0,Low,yellow
GA0510128,MODENA ISLAND,CWS,98,L,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,35,0,1,Medium,orange
GA0510133,HUNTER'S RIDGE,CWS,660,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,6,0,0,Low,yellow
GA0510134,WILMINGTON ISLAND WATER SUPPLY,TNCWS,100,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,66,27,0,High,red
GA0510139,HEATHCOTE FARMS SUBDIVISION,CWS,68,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,36,0,0,Low,yellow
GA0510141,WHITFIELD MOBILE ESTATES,CWS,86,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,32,0,0,Low,yellow
GA0510144,RIVERVIEW MOBILE INN,CWS,179,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,30,0,0,Low,yellow
GA0510145,SAVANNAH RV RESORT,CWS,25,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,35,0,3,Medium,orange
GA0510157,RIVERSIDE ESTATES,CWS,75,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,102,1,0,High,red
GA0510163,SEABREEZE MOBILE HOME PARK,CWS,83,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,37,8,0,High,red
GA0510168,THUNDERBIRD MOTEL,TNCWS,35,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,23,2,0,High,red
GA0510171,ROGER WOOD PACKING COMPANY,NTNCWS,220,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,80,2,0,High,red
GA0510188,"SAVANNAH STEEL, INC.",NTNCWS,40,P,GW,"THUNDERBOLT, Chatham County, GA",32.0835,-81.0998,39,4,0,High,red
GA0510189,"TURNERS CREEK HOLDINGS, LLC – DONNELLY",TNCWS,50,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,17,1,0,High,red
GA0510195,SOUTHERN LNG INC.,NTNCWS,35,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,25,5,0,High,red
GA0510206,LMASAVANNAH,TNCWS,66,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,26,0,3,Medium,orange
GA0510207,SANDMAN MOTEL,TNCWS,25,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,39,0,0,Low,yellow
GA0510215,LOVE`S FISHING CAMP RESTAURANT,TNCWS,229,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,15,2,0,High,red
GA0510216,SAVANNAH YACHT CLUB,TNCWS,175,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,24,2,0,High,red
GA0510223,BEVERLY PLANTATION II,CWS,65,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,16,6,0,High,red
GA0510224,FORT PULASKI NATIONAL MONUMENT VIS CTR,TNCWS,912,F,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,5,3,0,High,red
GA0510225,FT. PULASKI NATL. MONT. PICNIC,NTNCWS,133,F,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,16,0,0,Low,yellow
GA0510229,SAVANNAH-WILMINGTON ISLAND,CWS,13526,L,GW,"PORT WENTWORTH, Chatham County, GA",32.0835,-81.0998,28,3,0,High,red
GA0510231,USA-HUNTER AF LOTTS ISL WELL 7,TNCWS,25,F,GW,"FORT STEWART, Chatham County, GA",32.0835,-81.0998,4,0,0,Low,yellow
GA0510232,USA-HUNTER AF REC AREA #3,TNCWS,30,F,GW,"FORT STEWART, Chatham County, GA",32.0835,-81.0998,3,1,0,High,red
GA0510235,DEAN FOREST ROAD TRAILER PARK,CWS,65,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,32,9,0,High,red
GA0510236,DOT-REST AREA/WELCOME CTR. 112,TNCWS,4500,S,GW,"GARDEN CITY, Chatham County, GA",32.0835,-81.0998,69,6,0,High,red
GA0510240,ISLANDS EXPRESSWAY REC. PARK,TNCWS,50,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,10,4,0,High,red
GA0510249,ARGYLE VILLAGE SUBDIVISION,CWS,57,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,42,2,4,High,red
GA0510250,SAVANNAH-WHITEMARSH ISLAND,CWS,4247,L,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,22,0,0,Low,yellow
GA0510251,"GURUDEVDUTT18, LLC.",TNCWS,250,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,5,0,0,Low,yellow
GA0510253,FORT ARGYLE-RIVER BLUFF,CWS,463,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,16,3,0,High,red
GA0510255,AIRPORT OFFICES & INDUSTRIAL PARK,NTNCWS,32,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,26,10,0,High,red
GA0510259,SAVANNAH-SAVANNAH QUARTERS,CWS,2665,L,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,23,0,2,Medium,orange
GA0510265,SAVANNAH BEND MARINA,TNCWS,25,P,GW,"THUNDERBOLT, Chatham County, GA",32.0835,-81.0998,26,2,0,High,red
GA0510266,B`DETTE MOBILE BLUFF,CWS,68,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,26,0,0,Low,yellow
GA0510267,SANDY BLUFF SUBDIVISION,CWS,62,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,23,2,0,High,red
GA0510270,"WRENNDOROSA, INC.",CWS,49,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,13,0,0,Low,yellow
GA0510271,ALPHA & OMEGA MINISTRIES,NTNCWS,400,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,25,0,0,Low,yellow
GA0510273,D HOFFMAN SUBWAY RESTAURANT,TNCWS,50,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,7,3,0,High,red
GA0510275,DEAN FOREST RD.TP-NORTH,CWS,39,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,28,2,0,High,red
GA0510277,CHATHAM COUNTY - TOM TRIPLETT PARK,TNCWS,250,L,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,6,0,0,Low,yellow
GA0510278,DEAN FOREST INDUSTRIAL PARK,NTNCWS,26,P,GW,"SAVANNAH, Chatham County, GA",32.0835,-81.0998,0,0,0,Good,green
GA0510280,GARDEN CITY - TOWN CENTER,CWS,514,L,GWP,"GARDEN CITY, Chatham County, GA",32.0835,-81.0998,2,0,0,Low,yellow
GA0510281,ROCKINGHAM FARMS MONTESSORI SCHOOL,NTNCWS,100,P,GW,"PORT WENTWORTH, Chatham County, GA",32.0835,-81.0998,3,0,1,Medium,orange
GA0510283,SWAMP FOX WATER SYSTEM,TNCWS,100,P,GW,"PORT WENTWORTH, Chatham County, GA",32.0835,-81.0998,38,0,0,Low,yellow
GA0510285,BLOOMINGDALE SOUTH,CWS,25,L,GWP,"BLOOMINGDALE, Chatham County, GA",32.0835,-81.0998,1,0,1,Medium,orange
GA0510286,PROSPERITY DRIVE,NTNCWS,25,L,SWP,"GARDEN CITY, Chatham County, GA",32.0835,-81.0998,0,0,0,Good,green
GA0530002,CHATTAHOOCHEE COUNTY,CWS,3267,L,GW,"CUSSETA, Chattahoochee County, GA",31.755440884373968,-83.02567456196499,33,0,1,Medium,orange
GA0530004,CAMP DARBY,TNCWS,115,F,GW,"COLUMBUS, Chattahoochee County, GA",32.4609,-84.9877,6,0,0,Low,yellow
GA0530005,HASTINGS RANGE,TNCWS,106,F,GW,"COLUMBUS, Chattahoochee County, GA",32.4609,-84.9877,9,0,0,Low,yellow
GA0530007,GRISWOLD RANGE,TNCWS,25,F,GW,"COLUMBUS, Chattahoochee County, GA",32.4609,-84.9877,0,0,0,Good,green
GA0530009,MCKENNA MOUNT RANGE,TNCWS,164,F,GW,"COLUMBUS, Chattahoochee County, GA",32.4609,-84.9877,6,0,0,Low,yellow
GA0530010,LEYTE FIELD,TNCWS,380,L,GW,"COLUMBUS, Muscogee County, GA",32.4609,-84.9877,0,0,0,Good,green
GA0530012,TRICOLOR ROAD,TNCWS,48,L,GW,"COLUMBUS, Muscogee County, GA",32.4609,-84.9877,1,0,0,Low,yellow
GA0530013,FORT MOORE - GOOD HOPE RANGE,TNCWS,40,L,GW,"FORT BENNING (U.S. ARMY), Chattahoochee County, GA",32.4609,-84.9877,0,0,0,Good,green
GA0530014,FORT MOORE - GARNSEY RANGE,TNCWS,100,L,GW,"COLUMBUS, Chattahoochee County, GA",32.4609,-84.9877,0,0,0,Good,green
GA0550000,CHATTOOGA COUNTY,CWS,7800,L,GW,"TRION, Chattooga County, GA",31.817216159203713,-83.12963776234632,13,0,1,Medium,orange
GA0550001,LYERLY,CWS,1638,L,SWP,"LYERLY, Chattooga County, GA",31.68034038763013,-83.11891075995098,28,0,0,Low,yellow
GA0550002,MENLO,CWS,949,L,GW,"MENLO, Chattooga County, GA",33.43063493166276,-83.48041038172232,24,1,1,High,red
GA0550003,SUMMERVILLE,CWS,9993,L,SW,"SUMMERVILLE, Chattooga County, GA",31.93813668590801,-82.92363646161002,30,10,0,High,red
GA0550006,"MOUNT VERNON MILLS, INC.",NTNCWS,2481,P,GW,"TRION, Chattooga County, GA",32.618026514647966,-84.74955558348151,16,0,0,Low,yellow
GA0550015,CAMP JULIETTE LOW,TNCWS,162,P,GW,"CLOUDLAND, Chattooga County, GA",32.338840612762766,-84.92442744951371,7,6,0,High,red
GA0550049,TRION,CWS,2043,L,GWP,"TRION, Chattooga County, GA",32.18541636968645,-83.01305180449512,55,6,0,High,red
GA0570000,BALL GROUND,CWS,2470,L,GW,"BALL GROUND, Cherokee County, GA",32.2250668651293,-84.61478098168618,22,2,0,High,red
GA0570001,CANTON,CWS,16375,L,SW,"CANTON, Cherokee County, GA",31.88712996179554,-83.58871854086335,35,10,0,High,red
GA0570002,CHEROKEE COUNTY,CWS,189542,L,SW,"CANTON, Cherokee County, GA",31.83039096018554,-83.4321953847605,5,4,0,High,red
GA0570003,WOODSTOCK,CWS,19742,L,SWP,"WOODSTOCK, Cherokee County, GA",33.27894428090669,-84.76439248535279,25,2,0,High,red
GA0570006,LAKE ARROWHEAD SUBDIVISION,CWS,4844,P,GW,"WALESKA, Cherokee County, GA",32.12285255288875,-82.02325745739141,58,16,1,High,red
GA0570017,"ATLANTA YACHT CLUB, INC.",TNCWS,30,P,GW,"ATLANTA, Cherokee County, GA",33.749,-84.388,17,0,0,Low,yellow
GA0570023,HEMBREE WATER,CWS,257,P,SWP,"CANTON, Cherokee County, GA",33.45347826213813,-84.77001878850267,69,0,2,Medium,orange
GA0570024,WALESKA,CWS,4657,L,SWP,"WALESKA, Cherokee County, GA",31.97863802159532,-83.68737558853461,28,0,0,Low,yellow
GA0570048,CHEROKEE OUTDOOR YMCA,TNCWS,400,P,GW,"WOODSTOCK, Cherokee County, GA",32.410065955576414,-82.56415210044942,64,6,0,High,red
GA0570075,CHEROKEE COUNTY-SALACOA AREA,CWS,465,L,SWP,"CANTON, Cherokee County, GA",33.53760990199087,-84.77658754394045,2,0,0,Low,yellow
GA0590000,ATHENS-CLARKE CO WATER SYSTEM,CWS,125000,L,SW,"ATHENS, Clarke County, GA",33.9519,-83.3576,29,12,0,High,red
GA0590003,COUNTRY CORNERS MOBILE HOME COMMUNITY,CWS,390,P,SWP,"ATHENS, Clarke County, GA",33.9519,-83.3576,41,2,0,High,red
GA0590004,HALLMARK MANUFACTURED HOUSING COMMUNITY,CWS,753,P,GW,"ATHENS, Clarke County, GA",33.9519,-83.3576,45,4,1,High,red
GA0590007,SANDY SPRINGS SUBDIVISION,CWS,55,P,GW,"ATLANTA, Clarke County, GA",33.749,-84.388,40,5,0,High,red
GA0590009,PINEWOOD ESTATES NORTH,CWS,581,P,GW,"ATHENS, Clarke County, GA",33.9519,-83.3576,30,0,0,Low,yellow
GA0590013,CHEROKEE MOBILE HOME PARK,CWS,100,P,GW,"WINTERVILLE, Clarke County, GA",33.9519,-83.3576,104,4,4,High,red
GA0590020,RAMBLE HILLS SUBDIVISION,CWS,157,P,GW,"ATHENS, Clarke County, GA",33.9519,-83.3576,82,3,0,High,red
GA0590054,BEAVER DAM ESTATES M. H. P.,CWS,78,P,GW,"ATHENS, Clarke County, GA",33.9519,-83.3576,260,16,13,High,red
GA0590055,MINERAL SPRINGS SUBDIVISION,CWS,35,P,GW,"EATONTON, Clarke County, GA",33.9519,-83.3576,31,0,0,Low,yellow
GA0590070,FOWLER`S MILL SUBDIVISION,CWS,122,P,GW,"EATONTON, Clarke County, GA",33.9519,-83.3576,43,11,0,High,red
GA0590071,CRESTMONT FARMS SUBDIVISION,CWS,170,P,SWP,"ATHENS, Clarke County, GA",33.9519,-83.3576,108,75,0,High,red
GA0610000,BLUFFTON,CWS,149,L,GW,"BLUFFTON, Clay County, GA",33.57034858434291,-82.68347239549499,74,2,0,High,red
GA0610001,FORT GAINES,CWS,1173,L,GW,"FORT GAINES, Clay County, GA",32.91599327023909,-82.92122288537529,57,15,4,High,red
GA0610005,PATAULA SHORES MOBILE HOME PARK,TNCWS,81,P,GW,"CUTHBERT, Clay County, GA",31.964080743926438,-83.8000943050766,72,7,0,High,red
GA0610023,DNR-GEORGE T BAGBY STATE PARK,TNCWS,260,S,GW,"ALBANY, Clay County, GA",31.5785,-84.1557,68,6,1,High,red
GA0610027,DNR-GEORGE T BAGBY GOLF COURSE,TNCWS,112,S,GW,"FORT GAINES, Clay County, GA",31.5785,-84.1557,15,0,0,Low,yellow
GA0610029,CLAY COUNTY WATER SYSTEM,CWS,1085,L,GW,"FORT GAINES, Clay County, GA",31.73048905589617,-82.75272116646981,23,8,0,High,red
GA0630000,CLAYTON COUNTY WATER AUTHORITY,CWS,298374,L,SW,"MORROW, Clayton County, GA",33.5379,-84.3426,10,4,0,High,red
GA0630008,CORINTH WOODS SUBDIVISION,CWS,75,P,GW,"JACKSON, Clayton County, GA",33.5379,-84.3426,159,20,3,High,red
GA0630011,CAMP CALVIN,TNCWS,50,P,GW,"HAMPTON, Clayton County, GA",33.5379,-84.3426,67,14,0,High,red
GA0650000,HOMERVILLE,CWS,3210,L,GW,"HOMERVILLE, Clinch County, GA",32.386808238367045,-82.43004087475497,45,7,0,High,red
GA0650001,FARGO,CWS,380,L,GW,"FARGO, Clinch County, GA",33.611637465189744,-83.34219657437745,39,2,0,High,red
GA0650004,DUPONT WATER SYSTEM,CWS,120,L,GW,"DU PONT, Clinch County, GA",32.08134717923783,-83.74718687541035,44,0,0,Low,yellow
GA0650013,ARGYLE,CWS,173,L,GW,"ARGYLE, Clinch County, GA",32.973007467319974,-83.3290421379201,134,3,0,High,red
GA0650014,BRIDGES OF HOPE TRUST,NTNCWS,43,P,GW,"HOMERVILLE, Clinch County, GA",32.20156567422381,-83.7074609039968,12,0,0,Low,yellow
GA0650016,HOMERVILLE INDUSTRIAL PARK WATER SYSTEM,NTNCWS,50,L,GW,"HOMERVILLE, Clinch County, GA",33.409869040230575,-83.12558166810429,1,0,1,Medium,orange
GA0670001,AUSTELL,CWS,7774,L,SWP,"AUSTELL, Cobb County, GA",33.9526,-84.5464,14,2,0,High,red
GA0670002,COBB CO.-MARIETTA WATER AUTH.,CWS,0,L,SW,"MARIETTA, Cobb County, GA",33.9526,-84.5464,6,0,0,Low,yellow
GA0670003,COBB COUNTY,CWS,695000,L,SWP,"MARIETTA, Cobb County, GA",33.9526,-84.5464,6,2,0,High,red
GA0670005,MARIETTA BOARD OF LIGHTS AND WATER,CWS,60100,L,SWP,"MARIETTA, Cobb County, GA",33.9526,-84.5464,4,1,0,High,red
GA0670007,SMYRNA,CWS,40508,L,SWP,"SMYRNA, Cobb County, GA",33.884,-84.5144,5,0,0,Low,yellow
GA0690000,AMBROSE,CWS,332,L,GW,"AMBROSE, Coffee County, GA",32.579950687373,-82.93434099689561,109,0,9,Medium,orange
GA0690001,BROXTON,CWS,1353,L,GW,"BROXTON, Coffee County, GA",31.967433925484787,-82.62772357124211,99,0,3,Medium,orange
GA0690002,DOUGLAS,CWS,12706,L,GW,"DOUGLAS, Coffee County, GA",32.29243723629632,-83.61416968037503,11,6,0,High,red
GA0690003,NICHOLLS,CWS,3514,L,GW,"NICHOLLS, Coffee County, GA",32.00649443176305,-84.53234057836355,20,0,0,Low,yellow
GA0690006,WEST GREEN ELEMENTARY SCHOOL,NTNCWS,300,L,GW,"WEST GREEN, Coffee County, GA",32.901506419051636,-84.04699680656805,24,0,0,Low,yellow
GA0690007,DNR-GENERAL COFFEE STATE PARK,TNCWS,400,S,GW,"NICHOLLS, Coffee County, GA",33.58773445650289,-83.72144347589467,16,1,0,High,red
GA0690009,HILLSIDE TRAILER PARK,CWS,185,P,GW,"DOUGLAS, Coffee County, GA",32.33425664340463,-82.61815421047953,34,3,1,High,red
GA0690018,EVANS TRAILER PARK  #2,CWS,254,P,GW,"DOUGLAS, Coffee County, GA",31.883450909936506,-84.1472537908063,137,7,3,High,red
GA0690027,CITIZENS CHRISTIAN ACADEMY,NTNCWS,275,P,GW,"DOUGLAS, Coffee County, GA",32.448707735822026,-82.35120267594212,110,9,0,High,red
GA0690031,BAY MEADOWS ESTATES,CWS,1674,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,63,4,0,High,red
GA0690032,SATILLA ELEMENTARY SCHOOL,NTNCWS,600,P,GW,"DOUGLAS, Coffee County, GA",33.30739432889262,-82.50260428493893,15,0,0,Low,yellow
GA0690034,SHADY PINES MOBILE HOME PARK,CWS,189,P,GW,"DOUGLAS, Coffee County, GA",32.78052013642552,-83.97505196602798,111,3,2,High,red
GA0690035,COUNTRY MEADOWS S/D,CWS,265,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,13,0,0,Low,yellow
GA0690037,GREENETREE LAKES,CWS,247,P,GW,"BROXTON, Coffee County, GA",32.0835,-81.0998,11,3,0,High,red
GA0690038,PLANTATION ESTATES MHP,CWS,91,P,GW,"DOUGLAS, Coffee County, GA",31.699600791233856,-84.82406511180007,57,0,1,Medium,orange
GA0690039,SLEEPY HOLLOW MOBILE HOME PARK,CWS,233,P,GW,"DOUGLAS, Coffee County, GA",31.967904462196984,-83.41386436236222,47,0,2,Medium,orange
GA0690040,BEAR CREEK MOBILE HOME PARK,CWS,243,P,GW,"DOUGLAS, Coffee County, GA",33.336109892808494,-83.19785258409367,15,0,1,Medium,orange
GA0690048,RIDGEWOOD MOBILE HOME COMMUNITY,CWS,106,P,GW,"DOUGLAS, Coffee County, GA",33.13153048738353,-83.95418525931746,86,3,1,High,red
GA0690054,CHEROKEE HEIGHTS MHP,CWS,60,P,GW,"DOUGLAS, Coffee County, GA",33.641223413272904,-82.16697083771155,203,3,4,High,red
GA0690055,LAKEWOOD SUBDIVISION,CWS,146,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,6,0,0,Low,yellow
GA0690059,T & H MOBILE HOME PARK,CWS,213,P,GW,"POOLER, Coffee County, GA",33.52769803393915,-82.14470540533581,27,3,1,High,red
GA0690063,POWELL MOBILE HOME PARK,CWS,71,P,GW,"DOUGLAS, Coffee County, GA",32.386622794471144,-84.09103882579716,127,6,4,High,red
GA0690066,COTTON HILL ESTATES MOBILE HOME PARK,CWS,52,P,GW,"DOUGLAS, Coffee County, GA",31.741555336784447,-84.00071779963628,23,0,2,Medium,orange
GA0690070,FOREST HILLS SUBDIVISION,CWS,42,P,GW,"DOUGLAS, Coffee County, GA",32.0835,-81.0998,61,0,0,Low,yellow
GA0690071,SOUTH POINTE S/D,CWS,65,P,GW,"POOLER, Coffee County, GA",33.558214183389545,-82.44410427646893,12,0,1,Medium,orange
GA0690074,NORTHRIDGE SUBDIVISION,CWS,44,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,13,0,0,Low,yellow
GA0690075,KINGSRIDGE SUBDIVISION,CWS,57,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,24,3,0,High,red
GA0690077,GREENFIELD SUBDIVISION,CWS,44,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,2,0,0,Low,yellow
GA0690078,WEST POINTE SUBDIVISION,CWS,57,P,GW,"BLACKSHEAR, Coffee County, GA",32.74422479239979,-82.30453638733145,58,3,1,High,red
GA0690081,TIMBER RIDGE SUBDIVISION,CWS,42,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,40,40,0,High,red
GA0690083,UPTON JUNCTION PHASE 11,CWS,185,P,GW,"DOUGLAS, Coffee County, GA",33.33570801522396,-83.55709261809021,177,6,6,High,red
GA0690084,CROSSWINDS SUBDIVISION,CWS,65,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,24,0,0,Low,yellow
GA0690085,MILL BRANCH SUBDIVISION,CWS,31,P,GW,"SAVANNAH, Coffee County, GA",32.0835,-81.0998,37,0,1,Medium,orange
GA0690088,PREMIUM PEANUT LLC,NTNCWS,125,P,GW,"DOUGLAS, Coffee County, GA",32.535005612861326,-82.62093642219229,7,0,0,Low,yellow
GA0690089,DOLLAR GENERAL #20437,TNCWS,30,P,GW,"DOUGLAS, Coffee County, GA",32.041206043965566,-83.4948327010423,0,0,0,Good,green
GA0710000,BERLIN,CWS,643,L,GW,"BERLIN, Colquitt County, GA",33.492750124933295,-82.33515331653878,30,0,0,Low,yellow
